dev-category,developer-friendly name,API data type,VARIABLE NAME,SOURCE,NOTES
sentence,supervised.maximum,integer,supermax,r,"Maximum guideline range (in months) for supervised release, as determined by the court.  If info is missing from the SOR, then PSR values are used – use SOURCES to choose only SOR values.  Field available FY2016-present. "
sentence,supervised.minimum,integer,supermin,r,"Minimum guideline range (in months) for supervised release, as determined by the court.  If info is missing from the SOR, then PSR values are used – use SOURCES to choose only SOR values.  Field available FY2016-present. "
sentence,supervised-release?,boolean,suprdum,r,Indicates whether the defendant received supervised release. See Appendix B in this codebook for more information about USSC sentencing variables.
adjustments,terrorism.levels-added,integer,terorhi,psr/sor,"The Chapter Three Adjustment, International Terrorism (§3A1.4).  Number of levels added due to international terrorism involvement in the offense.  The end points for this variable are denoted with X because the total number of guideline computations recorded varies from case to case and year to year. Use variable NOCOMP to determine how many guideline computations are present in each case. For further information on USSC guideline coding system, see Introduction. All guideline variables available FY2012-present."
sentence,time-served.total-months,integer,timservc,jc,"This is the total amount of time (in months) credited to the offender by the judge at the time of sentencing.  It is attributed because the offender either remained in custody between arrest and sentencing or because the offender is serving time in state prison on a related charge.  This includes time collected in both the TIMSERVM and TIMSERVD fields.  This field DOES NOT include sentences of time imposed in days or months or §5G1.3 credit.  See Appendix B in this codebook for more information about USSC sentencing variables. See also TOTDAYS, SENTTOT, SENTTCAP, SENSPCAP, SENSPLT0.  If the J&C does not specify the exact amount of time served credited, then the coder uses the amount of time the offender was incarcerated between arrest and sentencing if this information is in the PSR.  Field available FY2011-present."
sentence,time-served.in-days,integer,timservd,jc,"This is the amount of time already served (in days) and credited to the offender by the judge at the time of sentencing.  Please see TIMSERVM for any time served expressed in months.  This field DOES NOT include sentences of time imposed in days or months or §5G1.3 credit.   See also TOTDAYS, SENTTOT, SENTTCAP, SENSPCAP, SENSPLT0. Note that if the J&C does not specify the exact amount of time served credited, then the coder uses the amount of time the offender was incarcerated between arrest and sentencing if this information is in the PSR."
sentence,time-served.in-months,integer,timservm,jc,"This is the amount of time already served (in months) and credited to the offender by the judge at the time of sentencing.  Please see TIMSERVD for any days of time served credit. This field DOES NOT include sentences of time imposed in days or months or §5G1.3 credit.  See Appendix B in this codebook for more information about USSC sentencing variables. See also TOTDAYS, SENTTOT, SENTTCAP, SENSPCAP, SENSPLT0. Note that if the J&C does not specify the exact amount of time served credited, then the coder uses the amount of time the offender was incarcerated between arrest and sentencing if this information is in the PSR"
criminal-history,total-points-applied,integer,totchpts,psr/sor,"The total number of criminal history points applied.  This variable includes one-point offenses (POINT1), two-point offenses (POINT2), three-point offenses (POINT3), Points for being sentenced under the criminal justice system (SENTPTS), and otherwise uncounted violence points (VIOL1PTS).  For cases with Guidelines Manuals earlier than 2010 it also included recency points (REL2PTS)."
sentence,days-of-imprisonment-ordered,integer,totdays,psr/sor,"The number of days of imprisonment ordered.  This field DOES NOT include sentences of time imposed in months, time served, or §5G1.3 credit.  See Appendix B in this codebook for more information about USSC sentencing variables. See also CH5G13ST, TOTDAYS, SENTTOT, SENTTCAP, SENSPCAP, SENSPLT0. "
sentence,months-of-imprisonment-ordered,integer,totprisn,psr/sor,"The number of months of imprisonment ordered.  This field DOES NOT include sentences of time imposed in days, time served, or §5G1.3 credit.  See Appendix B in this codebook for more information about USSC sentencing variables. See also CH5G13ST, TOTDAYS, SENTTOT, SENTTCAP, SENSPCAP, SENSPLT0."
multiple-count,total-units,integer,totunit,jc,The total number of units used to calculate offense level adjustment to be applied as a multiple count or grouping adjustment. 
sentence,money-type,string,typemony,r,"Indicates whether a fine/cost of supervision or restitution was ordered.  Compare to RESTDUM, ECONDUM, and FINECDUM. See Appendix B in this codebook for more information about USSC sentencing variables."
sentence,other-type,string,typeoths,jc,Other types of sentences ordered. See Appendix B in this codebook for more information about USSC sentencing variables.
adjustments,body-armor.levels-added,string,usarmhi,psr/sor,"Use of Body Armor During Drug Trafficking Crimes and Crimes of Violence Adjustment (§3B1.5) which corresponds to GDLINE1-GDLINEX. This field indicates the number of levels added for the Use of Body Armor During Drug Trafficking Crimes and Crimes of Violence (§3B1.5).  USARMHI is generated from the highest sentencing guideline computation and corresponds with GDLINEHI. The end points for this variable are denoted with X because the total number of guideline computations recorded varies from case to case and year to year. Use variable NOCOMP to determine how many guideline computations are present in each case.  For further information on USSC guideline coding system, see Introduction. All guideline variables available FY2012-present."
adjustments,use-of-minor.levels-added,string,uskidhi,psr/sor,"Use of Minor in Commission of a Crime (§3B1.4) which corresponds to GDLINE1-GDLINEX.  This field indicates the number of levels added for the use of a minor.  USKIDHI is generated from the highest sentencing guideline computation and corresponds with GDLINEHI. The end points for this variable are denoted with X because the total number of guideline computations recorded varies from case to case and year to year. Use variable NOCOMP to determine how many guideline computations are present in each case.  For further information on USSC guideline coding system, see Introduction. All guideline variables available FY2012-present"
defendant,id,string,usscidn,jc/psr,Unique sequential identification number given to cases upon receipt at USSC.
criminal-history,prior-conviction.points-applied,string,viol1pts,psr/sor,"Number of criminal history points applied for each prior sentence resulting from a conviction of a crime of violence that did not already receive points under §§4A1.1(a), 4A1.1(b), or 4A1.1(c). "
adjustments,hate-crime.levels-added,string,vulvcthi,psr/sor,"Hate Crime/Vulnerable Victim Adjustment (§3A1.1).  Indicates levels added for hate crime/vulnerable victim.  The end points for this variable are denoted with X because the total number of guideline computations recorded varies from case to case and year to year. Use variable NOCOMP to determine how many guideline computations are present in each case.For further information on USSC guideline coding system, see Introduction. All guideline variables available FY2012-present."
weapons,enhancement-or-trafficking?,boolean,weapon,r,"Indicates if there is an SOC weapon enhancement or an 18§924(c) conviction.  For more information, see WEAPSOC and IS924C."
weapons,enhancement-hi?,boolean,weapschi,r,"Indicates if there is an SOC enhancement for a weapon present.  This is a version of WEAPSOC that only uses the “HI” variables.  For more information, see WEAPON, WEAPSOC, and IS924C. This field available FY2018-present."
weapons,enhancement?,boolean,weapsoc,r,"Indicates if there is an SOC enhancement for a weapon present.  For more information, see WEAPON and IS924C."
criminal-history,category,string,xcrhissr,psr/sor,"Defendant's final criminal history category (I-VI), as determined by the court. If info is missing from the SOR, then PSR values are used - use SOURCES to choose only SOR values"
guideline-range,final-offense-level,integer,xfolsor,psr/sor,"The final offense level, as determined by the court. If info is missing from the SOR, then PSR values are used - use SOURCES to choose only SOR values."
demographic,legacy.age-category,string,years,r,Categories of age ranges (Recode of AGE for USSC Sourcebook prior to Fiscal Year 2018). See AGECAT for new category variable used starting in 2018.
sentence,table-group,string,zone,r,Sentence table group which determines eligibility for probation and alternative prison sentences (See §5B1.1 and §5C1.1).
